# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  106       3.807307539891e-10       1.138241215722e-13      -3.579848196114e-12       0.000000000000e+00       9.252945325185e-12       1.356457113648e-12      -6.885269658067e-15 
  107       3.849642982763e-10       1.156134883773e-13      -3.666461990975e-12       0.000000000000e+00       9.024096045049e-12       1.329640895059e-12      -6.775056973388e-15 
  108       3.892206552848e-10       1.173701085816e-13      -3.752635481841e-12       0.000000000000e+00       8.802542444553e-12       1.303602845666e-12      -6.686903300265e-15 
  109       3.934993451273e-10       1.190922725152e-13      -3.838303498946e-12       0.000000000000e+00       8.588163740538e-12       1.278329993787e-12      -6.618048302113e-15 
  110       3.977997634057e-10       1.207782792455e-13      -3.923400819733e-12       0.000000000000e+00       8.380782216328e-12       1.253802773060e-12      -6.565447002113e-15 
  111       4.021211768524e-10       1.224264376898e-13      -4.007862208993e-12       0.000000000000e+00       8.180161447163e-12       1.229994814693e-12      -6.525762623235e-15 
  112       4.064627189728e-10       1.240350677271e-13      -4.091622459008e-12       0.000000000000e+00       7.986004525636e-12       1.206872739700e-12      -6.495359428251e-15 
  113       4.108233856872e-10       1.256025013097e-13      -4.174616429689e-12       0.000000000000e+00       7.797952287119e-12       1.184395951148e-12      -6.470295559752e-15 
  114       4.152020309735e-10       1.271270835758e-13      -4.256779088720e-12       0.000000000000e+00       7.615581535199e-12       1.162516426402e-12      -6.446315880165e-15 
  115       4.195973625082e-10       1.286071739609e-13      -4.338045551698e-12       0.000000000000e+00       7.438403267109e-12       1.141178509364e-12      -6.418844811769e-15 
  116       4.240081230592e-10       1.300411770686e-13      -4.418349840077e-12       0.000000000000e+00       7.265969887427e-12       1.120331381387e-12      -6.383914709176e-15 
  117       4.284336689959e-10       1.314276371641e-13      -4.497620897865e-12       0.000000000000e+00       7.098215431176e-12       1.099968638285e-12      -6.341094335701e-15 
  118       4.328734542586e-10       1.327651573106e-13      -4.575786163758e-12       0.000000000000e+00       6.935153565609e-12       1.080093157401e-12      -6.290904646446e-15 
  119       4.373268482164e-10       1.340523719994e-13      -4.652772838495e-12       0.000000000000e+00       6.776771501048e-12       1.060704754878e-12      -6.233916213730e-15 
  120       4.417931329517e-10       1.352879485241e-13      -4.728507913659e-12       0.000000000000e+00       6.623029179963e-12       1.041800090005e-12      -6.170750338836e-15 
  121       4.462715005444e-10       1.364705883566e-13      -4.802918200482e-12       0.000000000000e+00       6.473858466053e-12       1.023372569557e-12      -6.102080163756e-15 
  122       4.507610503568e-10       1.375990285214e-13      -4.875930358653e-12       0.000000000000e+00       6.329162333319e-12       1.005412252147e-12      -6.028631782932e-15 
  123       4.552607863175e-10       1.386720429713e-13      -4.947470925116e-12       0.000000000000e+00       6.188814055141e-12       9.879057525652e-13      -5.951185355006e-15 
  124       4.597696142063e-10       1.396884439621e-13      -5.017466342880e-12       0.000000000000e+00       6.052656393360e-12       9.708361461270e-13      -5.870576214560e-15 
  125       4.642863389385e-10       1.406470834278e-13      -5.085842989819e-12       0.000000000000e+00       5.920500787350e-12       9.541828730164e-13      -5.787695983862e-15 
  126       4.688096618493e-10       1.415468543555e-13      -5.152527207479e-12       0.000000000000e+00       5.792126543099e-12       9.379216426319e-13      -5.703493684611e-15 
  127       4.733381779782e-10       1.423866921609e-13      -5.217445329880e-12       0.000000000000e+00       5.667280022284e-12       9.220243379308e-13      -5.618976849683e-15 
  128       4.778703733537e-10       1.431655760630e-13      -5.280523712322e-12       0.000000000000e+00       5.545673831351e-12       9.064589197742e-13      -5.535212634872e-15 
  129       4.824047821158e-10       1.438825746896e-13      -5.341690010019e-12       0.000000000000e+00       5.427048592429e-12       8.911969097590e-13      -5.453129669103e-15 
  130       4.869404831408e-10       1.445369856295e-13      -5.400877111415e-12       0.000000000000e+00       5.311367640017e-12       8.762369699895e-13      -5.372896666959e-15 
  131       4.914766530185e-10       1.451282138590e-13      -5.458019692801e-12       0.000000000000e+00       5.198642249713e-12       8.615837413085e-13      -5.294477432836e-15 
  132       4.960124095416e-10       1.456557305591e-13      -5.513053044537e-12       0.000000000000e+00       5.088870611397e-12       8.472404556651e-13      -5.217823701024e-15 
