# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# All scalar field variables are dimensionless. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ur             13:(.)rho_crit           14:(.)rho_scf            15:(.)p_scf              16:Omega_phi_scf         17:theta_phi_scf         18:y_phi_scf             19:gr.fac. D             20:gr.fac. f          
       7.045064562297e+03       1.327971617477e-05       5.931926215137e+01       1.304483943874e+02       1.383148536288e+04       1.963008604391e+00       9.745753885935e+07       3.349726097943e+01       6.782121174274e+03       8.575360211640e+02       4.685465968942e+03       4.691660433813e+03       1.701678359824e+04       4.895586111165e-08      -4.895586111165e-08      -2.657430214493e+01       1.319314455656e-07       6.409036800959e-07       8.122707315249e+02       1.754691913051e+00 
       6.996057241372e+03       1.345534796550e-05       5.969736149224e+01       1.287867559651e+02       1.383110726354e+04       1.976703460673e+00       9.677704923457e+07       3.370585699421e+01       6.595394520233e+03       8.397669866633e+02       4.588378261371e+03       4.562488743690e+03       1.658602851201e+04       4.895586111165e-08      -4.895586111165e-08      -2.654866270248e+01       1.336530167233e-07       6.491727771150e-07       8.222761909873e+02       1.753440021432e+00 
       6.947390650140e+03       1.363324580193e-05       6.007767544861e+01       1.271469608044e+02       1.383072694959e+04       1.990493575560e+00       9.610129382115e+07       3.391561098559e+01       6.413808381056e+03       8.223660988985e+02       4.493302059976e+03       4.436873101826e+03       1.616634964181e+04       4.895586111165e-08      -4.895586111165e-08      -2.652303391671e+01       1.353963914033e-07       6.575450604288e-07       8.323976386638e+02       1.752184034595e+00 
       6.899062420226e+03       1.381343796103e-05       6.046021494656e+01       1.255287150324e+02       1.383034441009e+04       2.004379608154e+00       9.543023972284e+07       3.412652784392e+01       6.237221252358e+03       8.053257312879e+02       4.400195694101e+03       4.314715619890e+03       1.575745829769e+04       4.895586111165e-08      -4.895586111165e-08      -2.649741581331e+01       1.371618349139e-07       6.660217624624e-07       8.426363006408e+02       1.750923961621e+00 
       6.851070199715e+03       1.399595305751e-05       6.084499094724e+01       1.239317287872e+02       1.382995963409e+04       2.018362222072e+00       9.476385427201e+07       3.433861246452e+01       6.065495524690e+03       7.886384152286e+02       4.309018356265e+03       4.195921103946e+03       1.535907340018e+04       4.895586111165e-08      -4.895586111165e-08      -2.647180841781e+01       1.389496156295e-07       6.746041295777e-07       8.529934141739e+02       1.749659811831e+00 
       6.803411653044e+03       1.418082004760e-05       6.123201444694e+01       1.223557161631e+02       1.382957261059e+04       2.032442085482e+00       9.410210502811e+07       3.455186974756e+01       5.898497376336e+03       7.722968368244e+02       4.219730084283e+03       4.080396980296e+03       1.497092127779e+04       4.895586111165e-08      -4.895586111165e-08      -2.644621175556e+01       1.407600050231e-07       6.832934222223e-07       8.634702277655e+02       1.748391594780e+00 
       6.756084460881e+03       1.436806823299e-05       6.162129647695e+01       1.208003951563e+02       1.382918332856e+04       2.046619871132e+00       9.344495977608e+07       3.476630459787e+01       5.736096669066e+03       7.562938336810e+02       4.132291743760e+03       3.968053223358e+03       1.459273546991e+04       4.895586111165e-08      -4.895586111165e-08      -2.642062585175e+01       1.425932777002e-07       6.920909150786e-07       8.740680012423e+02       1.747119320259e+00 
       6.709086320016e+03       1.455772726463e-05       6.201284810362e+01       1.192654876108e+02       1.382879177693e+04       2.060896256384e+00       9.279238652474e+07       3.498192192479e+01       5.578166846749e+03       7.406223917688e+02       4.046665010944e+03       3.858802285541e+03       1.422425653505e+04       4.895586111165e-08      -4.895586111165e-08      -2.639505073139e+01       1.444497114332e-07       7.009978972156e-07       8.847880058338e+02       1.745842998300e+00 
       6.662414943249e+03       1.474982714676e-05       6.240668042830e+01       1.177507191661e+02       1.382839794461e+04       2.075271923238e+00       9.214435350529e+07       3.519872664203e+01       5.424584836763e+03       7.252756423490e+02       3.962812355936e+03       3.752559029031e+03       1.386523186413e+04       4.895586111165e-08      -4.895586111165e-08      -2.636948641932e+01       1.463295871948e-07       7.100156722414e-07       8.956315242506e+02       1.744562639169e+00 
       6.616068059278e+03       1.494439824086e-05       6.280280458731e+01       1.162558192042e+02       1.382800182045e+04       2.089747558371e+00       9.150082916973e+07       3.541672366746e+01       5.275230954117e+03       7.102468589647e+02       3.880697026242e+03       3.649240659476e+03       1.351541549885e+04       4.895586111165e-08      -4.895586111165e-08      -2.634393294020e+01       1.482331891935e-07       7.191455584581e-07       9.065998507626e+02       1.743278253373e+00 
       6.570043412589e+03       1.514147126964e-05       6.320123175192e+01       1.147805207991e+02       1.382760339328e+04       2.104323853164e+00       9.086178218933e+07       3.563591792301e+01       5.129988808207e+03       6.955294544937e+02       3.800283030680e+03       3.548766661478e+03       1.317456795491e+04       4.895586111165e-08      -4.895586111165e-08      -2.631839031851e+01       1.501608049084e-07       7.283888890172e-07       9.176942912784e+02       1.741989851657e+00 
       6.524338763344e+03       1.534107732118e-05       6.360197312832e+01       1.133245606651e+02       1.382720265191e+04       2.119001503735e+00       9.022718145310e+07       3.585631433445e+01       4.988745212149e+03       6.811169782625e+02       3.721535123604e+03       3.451058735871e+03       1.284245604993e+04       4.895586111165e-08      -4.895586111165e-08      -2.629285857853e+01       1.521127251242e-07       7.377470120777e-07       9.289161634239e+02       1.740697445005e+00 
       6.478951887275e+03       1.554324785298e-05       6.400503995756e+01       1.118876791074e+02       1.382679958508e+04       2.133781210973e+00       8.959699606630e+07       3.607791783123e+01       4.851390094595e+03       6.670031132199e+02       3.644418789461e+03       3.356040738721e+03       1.251885273605e+04       4.895586111165e-08      -4.895586111165e-08      -2.626733774439e+01       1.540892439676e-07       7.472212909648e-07       9.402667966221e+02       1.739401044641e+00 
       6.433880575575e+03       1.574801469618e-05       6.441044351560e+01       1.104696199726e+02       1.382639418152e+04       2.148663680566e+00       8.897119534891e+07       3.630073334636e+01       4.717816413984e+03       6.531816731697e+02       3.568900227676e+03       3.263638622006e+03       1.220353693688e+04       4.895586111165e-08      -4.895586111165e-08      -2.624182784000e+01       1.560906589428e-07       7.568131043312e-07       9.517475321727e+02       1.738100662030e+00 
       6.389122634790e+03       1.595541005968e-05       6.481819511320e+01       1.090701305997e+02       1.382598642992e+04       2.163649623037e+00       8.834974883415e+07       3.652476581618e+01       4.587920075152e+03       6.396466000596e+02       3.494946337835e+03       3.173780375930e+03       1.189629338903e+04       4.895586111165e-08      -4.895586111165e-08      -2.621632888910e+01       1.581172709686e-07       7.665238463189e-07       9.633597233317e+02       1.736796308874e+00 
       6.344675886711e+03       1.616546653447e-05       6.522830609590e+01       1.076889617724e+02       1.382557631894e+04       2.178739753774e+00       8.773262626698e+07       3.675002018023e+01       4.461599848233e+03       6.263919613279e+02       3.422524705186e+03       3.086395972821e+03       1.159691248762e+04       4.895586111165e-08      -4.895586111165e-08      -2.619084091524e+01       1.601693844144e-07       7.763549267238e-07       9.751047353920e+02       1.735487997120e+00 
       6.300538168270e+03       1.637821709783e-05       6.564078784403e+01       1.063258676718e+02       1.382516383719e+04       2.193934793065e+00       8.711979760265e+07       3.697650138105e+01       4.338757289797e+03       6.134119473033e+02       3.351603586436e+03       3.001417312577e+03       1.130519013616e+04       4.895586111165e-08      -4.895586111165e-08      -2.616536394177e+01       1.622473071383e-07       7.863077711612e-07       9.869839457636e+02       1.734175738952e+00 
       6.256707331435e+03       1.659369511777e-05       6.605565177267e+01       1.049806058295e+02       1.382474897326e+04       2.209235466129e+00       8.651123300524e+07       3.720421436404e+01       4.219296666155e+03       6.007008686599e+02       3.282151895846e+03       2.918778169610e+03       1.102092760032e+04       4.895586111165e-08      -4.895586111165e-08      -2.613989799186e+01       1.643513505243e-07       7.963838212331e-07       9.989987440541e+02       1.732859546798e+00 
       6.213181243104e+03       1.681193435730e-05       6.647290933157e+01       1.036529370814e+02       1.382433171570e+04       2.224642503153e+00       8.590690284618e+07       3.743316407726e+01       4.103124878777e+03       5.882531539247e+02       3.214139191606e+03       2.838414141253e+03       1.074393136561e+04       4.895586111165e-08      -4.895586111165e-08      -2.611444308846e+01       1.664818295202e-07       8.065845346974e-07       1.011150532150e+03       1.731539433326e+00 
       6.169957785000e+03       1.703296897895e-05       6.689257200516e+01       1.023426255230e+02       1.382391205303e+04       2.240156639320e+00       8.530677770281e+07       3.766335547124e+01       3.990151391761e+03       5.760633470359e+02       3.147535662499e+03       2.760262597587e+03       1.047401299893e+04       4.895586111165e-08      -4.895586111165e-08      -2.608899925434e+01       1.686390626762e-07       8.169113856389e-07       1.023440724298e+03       1.730215411445e+00 
       6.127034853573e+03       1.725683354918e-05       6.731465131253e+01       1.010494384635e+02       1.382348997372e+04       2.255778614846e+00       8.471082835700e+07       3.789479349886e+01       3.880288161300e+03       5.641261049530e+02       3.082312114844e+03       2.684262632644e+03       1.021098901379e+04       4.895586111165e-08      -4.895586111165e-08      -2.606356651207e+01       1.708233721834e-07       8.273658646417e-07       1.035870747186e+03       1.728887494306e+00 
