# Matter power spectrum P(k) at redshift z=0
# for k=1.04573e-05 to 10.6861 h/Mpc,
# number of wavenumbers equal to 613
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.662706636202e-01       3.963002828523e+02 
       4.694845284039e-01       3.905450320629e+02 
       4.726983933897e-01       3.848758145710e+02 
       4.759122585733e-01       3.793003503148e+02 
       4.791261239508e-01       3.738219652781e+02 
       4.823399895183e-01       3.684532402227e+02 
       4.855538552720e-01       3.632027444094e+02 
       4.887677212082e-01       3.580816452571e+02 
       4.919815873233e-01       3.530949179763e+02 
       4.951954536139e-01       3.482429401571e+02 
       4.984093200765e-01       3.435163991196e+02 
       5.016231867078e-01       3.389048848073e+02 
       5.048370535046e-01       3.343974605401e+02 
       5.080509204637e-01       3.299804214932e+02 
       5.112647875820e-01       3.256511394834e+02 
       5.144786548567e-01       3.213975084296e+02 
       5.176925222846e-01       3.172171233289e+02 
       5.209063898631e-01       3.131037145094e+02 
       5.241202575893e-01       3.090503374747e+02 
       5.273341254605e-01       3.050520736026e+02 
       5.305479934741e-01       3.011062911999e+02 
       5.337618616274e-01       2.972139622475e+02 
       5.369757299181e-01       2.933791629180e+02 
       5.401895983435e-01       2.896077462966e+02 
       5.434034669014e-01       2.859041406717e+02 
       5.466173355893e-01       2.822710602958e+02 
       5.498312044050e-01       2.787061614927e+02 
       5.530450733463e-01       2.752098336408e+02 
       5.562589424109e-01       2.717788952183e+02 
       5.594728115968e-01       2.684119604064e+02 
       5.626866809018e-01       2.651103937458e+02 
       5.659005503239e-01       2.618729180947e+02 
       5.691144198612e-01       2.586991178685e+02 
       5.723282895117e-01       2.555862774386e+02 
       5.755421592734e-01       2.525296932401e+02 
       5.787560291445e-01       2.495241973851e+02 
       5.819698991233e-01       2.465656336341e+02 
       5.851837692079e-01       2.436522569336e+02 
       5.883976393965e-01       2.407820362485e+02 
       5.916115096876e-01       2.379562370583e+02 
       5.948253800794e-01       2.351749893796e+02 
       5.980392505702e-01       2.324370382278e+02 
       6.012531211586e-01       2.297405907596e+02 
       6.044669918429e-01       2.270834160347e+02 
       6.076808626217e-01       2.244645272513e+02 
       6.108947334933e-01       2.218839363943e+02 
       6.141086044564e-01       2.193427445343e+02 
       6.173224755096e-01       2.168448160362e+02 
       6.205363466513e-01       2.143901260195e+02 
       6.237502178803e-01       2.119782390463e+02 
       6.269640891952e-01       2.096075440467e+02 
       6.301779605948e-01       2.072747959328e+02 
       6.333918320776e-01       2.049790818564e+02 
       6.366057036424e-01       2.027188290164e+02 
       6.398195752880e-01       2.004941166100e+02 
       6.430334470132e-01       1.983051900753e+02 
       6.462473188168e-01       1.961517119302e+02 
       6.494611906976e-01       1.940322693562e+02 
       6.526750626545e-01       1.919445001239e+02 
       6.558889346864e-01       1.898861085978e+02 
       6.591028067921e-01       1.878555154110e+02 
       6.623166789706e-01       1.858524191936e+02 
       6.655305512208e-01       1.838775561093e+02 
       6.687444235417e-01       1.819317517506e+02 
