# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  107       3.853155853592e-10       1.159864878547e-13      -3.662945754528e-12       4.896339902858e-16       9.024096045049e-12       1.329640895059e-12      -6.775056973388e-15 
  108       3.895722167479e-10       1.177485477735e-13      -3.748886209036e-12       4.990112758671e-16       8.802542444553e-12       1.303602845666e-12      -6.686903300265e-15 
  109       3.938509599828e-10       1.194762435092e-13      -3.834313662232e-12       5.084909840789e-16       8.588163740538e-12       1.278329993787e-12      -6.618048302113e-15 
  110       3.981512062882e-10       1.211678827515e-13      -3.919162858786e-12       5.180737521949e-16       8.380782216328e-12       1.253802773060e-12      -6.565447002113e-15 
  111       4.024722180803e-10       1.228217834708e-13      -4.003368536697e-12       5.277602274459e-16       8.180161447163e-12       1.229994814693e-12      -6.525762623235e-15 
  112       4.068131246123e-10       1.244362750377e-13      -4.086865467597e-12       5.375510670338e-16       7.986004525636e-12       1.206872739700e-12      -6.495359428251e-15 
  113       4.111729176184e-10       1.260096993427e-13      -4.169588497035e-12       5.474469381454e-16       7.797952287119e-12       1.184395951148e-12      -6.470295559752e-15 
  114       4.155504469587e-10       1.275404119160e-13      -4.251472584773e-12       5.574485179658e-16       7.615581535199e-12       1.162516426402e-12      -6.446315880165e-15 
  115       4.199444162637e-10       1.290267830477e-13      -4.332452845075e-12       5.675564936926e-16       7.438403267109e-12       1.141178509364e-12      -6.418844811769e-15 
  116       4.243535643340e-10       1.304672283199e-13      -4.412463314078e-12       5.777715637534e-16       7.265969887427e-12       1.120331381387e-12      -6.383914709176e-15 
  117       4.287772436708e-10       1.318603020236e-13      -4.491432995724e-12       5.880944415988e-16       7.098215431176e-12       1.099968638285e-12      -6.341094335701e-15 
  118       4.332149044321e-10       1.332046172555e-13      -4.569289408511e-12       5.985258523986e-16       6.935153565609e-12       1.080093157401e-12      -6.290904646446e-15 
  119       4.376659122883e-10       1.344988188858e-13      -4.645959844123e-12       6.090665319033e-16       6.776771501048e-12       1.060704754878e-12      -6.233916213730e-15 
  120       4.421295457089e-10       1.357415849384e-13      -4.721371396472e-12       6.197172264680e-16       6.623029179963e-12       1.041800090005e-12      -6.170750338836e-15 
  121       4.466049932498e-10       1.369316279702e-13      -4.795450990731e-12       6.304786930772e-16       6.473858466053e-12       1.023372569557e-12      -6.102080163756e-15 
  122       4.510913508396e-10       1.380676964515e-13      -4.868125412372e-12       6.413516993690e-16       6.329162333319e-12       1.005412252147e-12      -6.028631782932e-15 
  123       4.555876190674e-10       1.391485761453e-13      -4.939321336204e-12       6.523370236598e-16       6.188814055141e-12       9.879057525652e-13      -5.951185355006e-15 
  124       4.600927004693e-10       1.401730914877e-13      -5.008965355410e-12       6.634354549683e-16       6.052656393360e-12       9.708361461270e-13      -5.870576214560e-15 
  125       4.646053968155e-10       1.411401069671e-13      -5.076984010586e-12       6.746477930399e-16       5.920500787350e-12       9.541828730164e-13      -5.787695983862e-15 
  126       4.691244063970e-10       1.420485285044e-13      -5.143303818775e-12       6.859748483715e-16       5.792126543099e-12       9.379216426319e-13      -5.703493684611e-15 
  127       4.736483213133e-10       1.428973048329e-13      -5.207851302508e-12       6.974174422355e-16       5.667280022284e-12       9.220243379308e-13      -5.618976849683e-15 
  128       4.781756247584e-10       1.436854288779e-13      -5.270553018836e-12       7.089764067046e-16       5.545673831351e-12       9.064589197742e-13      -5.535212634872e-15 
  129       4.827048480250e-10       1.444119833771e-13      -5.331336835346e-12       7.206525990144e-16       5.427048592429e-12       8.911969097590e-13      -5.453129669103e-15 
  130       4.872350667494e-10       1.450762804689e-13      -5.390135854778e-12       7.324469463825e-16       5.311367640017e-12       8.762369699895e-13      -5.372896666959e-15 
  131       4.917654542313e-10       1.456777400959e-13      -5.446884977816e-12       7.443604061754e-16       5.198642249713e-12       8.615837413085e-13      -5.294477432836e-15 
  132       4.962951250426e-10       1.462158488172e-13      -5.501519732302e-12       7.563939521361e-16       5.088870611397e-12       8.472404556651e-13      -5.217823701024e-15 
  133       5.008231334575e-10       1.466901615041e-13      -5.553976311190e-12       7.685485745113e-16       4.982037466116e-12       8.332088946879e-13      -5.142874821603e-15 
  134       5.053484718820e-10       1.471003030369e-13      -5.604191610509e-12       7.808252801784e-16       4.878113742982e-12       8.194893482592e-13      -5.069557446352e-15 
  135       5.098700692839e-10       1.474459700015e-13      -5.652103267324e-12       7.932250927722e-16       4.777056196056e-12       8.060805730887e-13      -4.997785214641e-15 
  136       5.143867896226e-10       1.477269323852e-13      -5.697649697694e-12       8.057490528121e-16       4.678807041239e-12       7.929797512875e-13      -4.927458439344e-15 
  137       5.188974302792e-10       1.479430352738e-13      -5.740770134634e-12       8.183982178293e-16       4.583293593165e-12       7.801824489413e-13      -4.858463792730e-15 
  138       5.234007204859e-10       1.480942005474e-13      -5.781404666074e-12       8.311736624935e-16       4.490427902089e-12       7.676825746850e-13      -4.790673992375e-15 
  139       5.278953197562e-10       1.481804285771e-13      -5.819494272819e-12       8.440764787399e-16       4.400106390777e-12       7.554723382759e-13      -4.723947487054e-15 
